Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face,Price_Per_SqFt,Down_Payment_Credit,Price_Per_Room
2009-01-02,2009,Waterbury,"$111,440.00","$185,000.00",Single Family,Detached House,3,3,996,1.025953,South,$185.74,"$4,625.00","$61,666.67"
2009-01-02,2009,Waterbury,"$50,540.00","$105,000.00",Single Family,Detached House,3,1,951,1.025953,East,$110.41,"$2,625.00","$35,000.00"
2009-01-02,2009,Norwalk,"$571,060.00","$1,000,000.00",Single Family,Detached House,3,2,1000,1.025953,South,"$1,000.00","$25,000.00","$333,333.33"
2009-01-02,2009,Bridgeport,"$4,775,276.00","$272,900.00",Single Family,Detached House,3,1,971,1.025953,East,$281.05,"$6,822.50","$90,966.67"
2009-01-02,2009,Greenwich,"$5,187,000.00","$5,187,000.00",Single Family,Detached House,3,2,1026,1.025953,South,"$5,055.56","$129,675.00","$1,729,000.00"
2009-01-03,2009,Norwalk,"$1,340,000.00","$1,340,000.00",Single Family,Detached House,3,1,936,1.025953,North,"$1,431.62","$33,500.00","$446,666.67"
2009-01-03,2009,Norwalk,"$172,620.00","$409,000.00",Single Family,Detached House,3,3,1004,1.025953,South,$407.37,"$10,225.00","$136,333.33"
2009-01-04,2009,Bridgeport,"$410,000.00","$410,000.00",Two Family,Duplex,4,3,1498,1.025953,West,$273.70,"$10,250.00","$102,500.00"
2009-01-04,2009,Waterbury,"$176,000.00","$176,000.00",Single Family,Detached House,3,1,1008,1.025953,North,$174.60,"$4,400.00","$58,666.67"
2009-01-04,2009,Norwalk,"$208,880.00","$370,000.00",Single Family,Detached House,3,2,1063,1.025953,South,$348.07,"$9,250.00","$123,333.33"
2009-01-04,2009,Waterbury,"$83,300.00","$220,000.00",Two Family,Duplex,4,4,1471,1.025953,South,$149.56,"$5,500.00","$55,000.00"
2009-01-05,2009,Bridgeport,"$284,280.00","$284,280.00",Single Family,Detached House,3,3,1015,1.025953,South,$280.08,"$7,107.00","$94,760.00"
2009-01-05,2009,Greenwich,"$2,095,100.00","$2,860,000.00",Single Family,Detached House,3,1,963,1.025953,East,"$2,969.89","$71,500.00","$953,333.33"
2009-01-05,2009,Norwalk,"$186,410.00","$340,000.00",Single Family,Detached House,3,2,933,1.025953,East,$364.42,"$8,500.00","$113,333.33"
2009-01-05,2009,Greenwich,"$1,162,140.00","$1,990,000.00",Single Family,Detached House,3,1,1000,1.025953,North,"$1,990.00","$49,750.00","$663,333.33"
2009-01-08,2009,Greenwich,"$3,235,000.00","$3,235,000.00",Single Family,Detached House,3,1,1026,1.025953,West,"$3,153.02","$80,875.00","$1,078,333.33"
2009-01-08,2009,Waterbury,"$56,070.00","$75,000.00",Two Family,Duplex,4,2,1373,1.025953,West,$54.62,"$1,875.00","$18,750.00"
2009-01-08,2009,Bridgeport,"$160,904.00","$399,900.00",Two Family,Duplex,4,2,1284,1.025953,East,$311.45,"$9,997.50","$99,975.00"
2009-01-08,2009,Norwalk,"$342,090.00","$850,000.00",Single Family,Detached House,3,1,914,1.025953,East,$929.98,"$21,250.00","$283,333.33"
2009-01-08,2009,Bridgeport,"$71,050.00","$280,000.00",Two Family,Duplex,4,3,1295,1.025953,East,$216.22,"$7,000.00","$70,000.00"
2009-01-08,2009,Bridgeport,"$60,483.00","$144,500.00",Single Family,Detached House,3,1,1095,1.025953,East,$131.96,"$3,612.50","$48,166.67"
2009-01-09,2009,Bridgeport,"$135,870.00","$362,560.00",Two Family,Duplex,4,2,1338,1.025953,West,$270.97,"$9,064.00","$90,640.00"
2009-01-09,2009,Norwalk,"$154,210.00","$412,000.00",Single Family,Detached House,3,1,955,1.025953,South,$431.41,"$10,300.00","$137,333.33"
2009-01-10,2009,Bridgeport,"$269,900.00","$269,900.00",Single Family,Detached House,3,1,1008,1.025953,West,$267.76,"$6,747.50","$89,966.67"
2009-01-10,2009,Greenwich,"$2,498,720.00","$4,000,000.00",Single Family,Detached House,3,2,1000,1.025953,North,"$4,000.00","$100,000.00","$1,333,333.33"
2009-01-10,2009,Bridgeport,"$121,870.00","$305,000.00",Three Family,Triplex,6,6,1817,1.025953,South,$167.86,"$7,625.00","$50,833.33"
2009-01-11,2009,Greenwich,"$693,280.00","$1,820,000.00",Single Family,Detached House,3,3,1000,1.025953,East,"$1,820.00","$45,500.00","$606,666.67"
2009-01-12,2009,Greenwich,"$2,215,010.00","$2,925,000.00",Single Family,Detached House,3,2,1065,1.025953,West,"$2,746.48","$73,125.00","$975,000.00"
2009-01-12,2009,Greenwich,"$1,017,400.00","$1,052,000.00",Single Family,Detached House,3,2,984,1.025953,East,"$1,069.11","$26,300.00","$350,666.67"
2009-01-12,2009,Bridgeport,"$133,000.00","$133,000.00",Single Family,Detached House,3,3,1039,1.025953,South,$128.01,"$3,325.00","$44,333.33"
2009-01-12,2009,Bridgeport,"$68,838.00","$145,000.00",Single Family,Detached House,3,2,1000,1.025953,East,$145.00,"$3,625.00","$48,333.33"
2009-01-16,2009,Bridgeport,"$159,460.00","$384,000.00",Three Family,Triplex,6,4,2131,1.025953,West,$180.20,"$9,600.00","$64,000.00"
2009-01-16,2009,Bridgeport,"$93,521.00","$202,500.00",Single Family,Detached House,3,2,952,1.025953,East,$212.71,"$5,062.50","$67,500.00"
